Amount offered,Rating Left,Accepted offer?,Turker ID
7,3,True,AF809I6N6GIKV
4,3,True,A2ETKHHF3LTC0B
8,4,True,A14OTLWWDLIHG0
8,4,True,A17ACUDW7ZD31Q
3,2,True,AF809I6N6GIKV
2,4,False,A14DAYULFB8RA3
1,5,False,A14DAYULFB8RA3
0,3,True,A2ETKHHF3LTC0B
8,4,True,A27ZD146NY4WOO
9,5,True,A326O9QE2LPV50
6,4,True,AF809I6N6GIKV
7,4,True,AF809I6N6GIKV
2,2,False,A14DAYULFB8RA3
1,1,False,A1CR0WA81XE9FW
6,3,True,A4C3L2CY9BW62
8,4,True,A27ZD146NY4WOO
10,5,True,A326O9QE2LPV50
6,3,True,A17ACUDW7ZD31Q
8,1,True,A2Z6XDAM3ALJZU
4,2,True,A4C3L2CY9BW62
9,5,True,A4C3L2CY9BW62
6,3,True,A14OTLWWDLIHG0
7,3,True,A17ACUDW7ZD31Q
7,5,True,A14DAYULFB8RA3
10,2,True,A2Z6XDAM3ALJZU
0,1,True,A2Z6XDAM3ALJZU
7,2,True,A2ETKHHF3LTC0B
5,3,True,A1CR0WA81XE9FW
5,3,True,A4C3L2CY9BW62
4,2,True,A14OTLWWDLIHG0
3,1,False,A17ACUDW7ZD31Q
6,2,True,A2Z6XDAM3ALJZU
0,4,True,A2Z6XDAM3ALJZU
3,2,True,A1CR0WA81XE9FW
10,5,True,A14OTLWWDLIHG0
7,3,True,A17ACUDW7ZD31Q
9,3,True,A14DAYULFB8RA3
0,2,True,A2ETKHHF3LTC0B
9,5,True,A1CR0WA81XE9FW
4,1,True,A14OTLWWDLIHG0
0,1,False,A27ZD146NY4WOO
3,4,True,A326O9QE2LPV50
9,5,True,AF809I6N6GIKV
10,3,True,A2ETKHHF3LTC0B
5,3,True,A1CR0WA81XE9FW
1,1,False,A4C3L2CY9BW62
10,5,True,A27ZD146NY4WOO
1,1,False,A27ZD146NY4WOO
7,5,True,A326O9QE2LPV50
9,5,True,A326O9QE2LPV50
