Amount offered,Rating Left,Accepted offer?
3,5,True
4,1,True
10,4,True
1,3,True
0,1,False
1,1,False
6,4,True
8,2,False
0,1,False
5,3,True
4,5,True
2,3,False
8,3,True
4,3,True
3,1,False
2,1,False
3,2,False
10,2,True
5,4,True
1,2,True
2,2,True
3,2,False
6,3,True
6,5,True
3,2,True
5,3,True
7,4,True
3,2,False
0,1,True
3,2,True
2,1,False
7,4,True
2,2,True
6,3,True
9,4,True
5,3,True
6,4,True
8,4,True
10,5,True
10,2,True
5,3,True
4,5,True
8,5,True
6,5,True
1,1,True
8,1,True
10,4,True
4,3,True
4,3,False
8,4,True
10,5,True
7,4,True
7,1,True
9,5,True
