Amount offered,Rating Left,Accepted offer?,Turker ID
5,5,True,ACOKILBUVLJWU
1,4,True,A38FWJM6QY3E62
3,4,True,ACOKILBUVLJWU
6,3,True,AUB52OWZ65JT4
6,4,True,AUB52OWZ65JT4
9,4,True,A38FWJM6QY3E62
1,5,True,A38FWJM6QY3E62
3,3,False,A11F04H8R8SIRD
10,5,True,A11F04H8R8SIRD
1,2,False,A11J5NDVR49DET
5,4,True,A16AK06D5FHLOF
5,3,True,A3GR63KAHHUXKX
9,5,True,A1VKHE5L6QVFUV
10,5,True,A1E3WL1MAZS6KC
0,1,True,ACOKILBUVLJWU
0,1,False,AAKFUMPLS0U6N
4,5,True,A4TX21DZU590E
4,5,True,A4TX21DZU590E
3,4,True,ALPS6R17PQQGS
9,4,True,A3VRU112B7YHP2
8,5,True,A1VKHE5L6QVFUV
2,3,False,A1E3WL1MAZS6KC
7,5,True,AUB52OWZ65JT4
0,1,True,ACOKILBUVLJWU
7,5,True,A1ER11ZTX6RP70
2,1,False,A1ER11ZTX6RP70
2,5,True,A359TPCNNIR04Q
7,5,True,A274M85LK91SKM
2,2,True,AAKFUMPLS0U6N
4,4,True,A16AK06D5FHLOF
5,3,True,A3GR63KAHHUXKX
6,4,True,A3GR63KAHHUXKX
8,5,True,A3RNQRRDWXX3F5
10,5,True,A3CRSQHBT0C3DJ
5,2,True,A3ML84WUIATUNM
4,3,True,A38FWJM6QY3E62
10,2,True,A38FWJM6QY3E62
7,5,True,A3QCAF5VIOHLN6
4,3,True,A1ER11ZTX6RP70
3,2,True,A1ER11ZTX6RP70
6,5,True,A11F04H8R8SIRD
7,5,True,AAKFUMPLS0U6N
10,5,True,A4TX21DZU590E
9,5,True,A1WK3QVIJZXKKQ
2,1,False,A1WK3QVIJZXKKQ
7,5,True,ALPS6R17PQQGS
7,5,True,A3GR63KAHHUXKX
7,4,True,A3VRU112B7YHP2
4,4,True,A1VKHE5L6QVFUV
9,5,True,A3CRSQHBT0C3DJ
0,1,False,A3CRSQHBT0C3DJ
7,3,True,A3QCAF5VIOHLN6
4,3,True,A3QCAF5VIOHLN6
8,5,True,A274M85LK91SKM
1,1,False,A274M85LK91SKM
9,5,True,A274M85LK91SKM
8,2,False,A11F04H8R8SIRD
7,4,True,A11J5NDVR49DET
0,1,False,A11J5NDVR49DET
4,3,False,A3VRU112B7YHP2
8,5,True,A3VRU112B7YHP2
0,3,True,A3ML84WUIATUNM
3,4,True,A3ML84WUIATUNM
8,5,True,ACOKILBUVLJWU
6,1,True,AUB52OWZ65JT4
4,3,True,A3QCAF5VIOHLN6
3,5,True,A359TPCNNIR04Q
6,5,True,A11J5NDVR49DET
1,4,True,ALPS6R17PQQGS
8,4,True,A16AK06D5FHLOF
7,4,True,A3GR63KAHHUXKX
1,3,True,A3RNQRRDWXX3F5
3,5,True,A3RNQRRDWXX3F5
7,5,True,A3RNQRRDWXX3F5
6,3,True,A3CRSQHBT0C3DJ
3,2,False,A3CRSQHBT0C3DJ
1,2,False,A1E3WL1MAZS6KC
7,5,True,A1E3WL1MAZS6KC
0,1,False,A1E3WL1MAZS6KC
8,3,True,AUB52OWZ65JT4
6,4,True,A3QCAF5VIOHLN6
4,4,True,A1ER11ZTX6RP70
8,5,True,A359TPCNNIR04Q
7,5,True,A274M85LK91SKM
10,5,True,AAKFUMPLS0U6N
0,1,False,ALPS6R17PQQGS
2,3,False,ALPS6R17PQQGS
10,5,True,A3VRU112B7YHP2
3,5,True,A3ML84WUIATUNM
10,1,True,A3ML84WUIATUNM
7,5,True,A359TPCNNIR04Q
1,5,True,A359TPCNNIR04Q
10,5,True,A11F04H8R8SIRD
2,5,True,A4TX21DZU590E
2,3,True,A4TX21DZU590E
10,5,True,A1WK3QVIJZXKKQ
6,4,True,A1WK3QVIJZXKKQ
6,5,True,A1WK3QVIJZXKKQ
10,4,True,A11J5NDVR49DET
5,5,True,A16AK06D5FHLOF
1,4,True,A3RNQRRDWXX3F5
3,3,True,A1VKHE5L6QVFUV
2,1,True,A1VKHE5L6QVFUV
8,5,True,A16AK06D5FHLOF
5,5,True,A16AK06D5FHLOF
