Amount offered,Rating Left,Accepted offer?,Turker ID
4,1,True,A2URXXQVE5GSWZ
8,5,True,AMD1LYNQAH3R8
4,5,True,A2URXXQVE5GSWZ
3,1,True,AMD1LYNQAH3R8
5,1,True,AMD1LYNQAH3R8
9,1,True,A12A4GZTWNJFNY
4,1,True,A2URXXQVE5GSWZ
6,1,True,A2URXXQVE5GSWZ
9,5,True,AMD1LYNQAH3R8
10,5,True,A12A4GZTWNJFNY
8,5,True,A12A4GZTWNJFNY
3,5,True,A2URXXQVE5GSWZ
4,5,True,A2URXXQVE5GSWZ
2,1,True,A12A4GZTWNJFNY
3,1,True,AMD1LYNQAH3R8
1,1,True,A12A4GZTWNJFNY
8,5,True,AMD1LYNQAH3R8
9,5,True,A12A4GZTWNJFNY
2,1,True,A12A4GZTWNJFNY
8,1,True,AMD1LYNQAH3R8
1,5,True,A12A4GZTWNJFNY
1,5,False,A2URXXQVE5GSWZ
6,1,False,A2URXXQVE5GSWZ
5,5,True,AMD1LYNQAH3R8
