Amount offered,Rating Left,Accepted offer?,Turker ID
3,3,True,AGN9KSJLLFK1U
10,5,True,ARQA90W3DRJCB
5,3,True,A1DIGFLSW59QS8
2,2,True,A3JTI1UQ5ELQWJ
1,1,True,A3JTI1UQ5ELQWJ
5,4,True,AF7OAXG68V0GI
5,4,True,AF7OAXG68V0GI
6,4,True,A2CJBFBNJP90FJ
7,4,True,A1PAY41TADGRX2
10,5,True,A3NW35V6ZH93WP
0,1,False,A3NW35V6ZH93WP
3,5,True,A3NW35V6ZH93WP
7,4,True,A5DTMMW81L4N5
10,3,True,AGN9KSJLLFK1U
6,3,True,A1RJMGLULYIJCV
4,3,True,A1LZX3XQGA1LUL
2,4,True,A1LZX3XQGA1LUL
8,1,True,A2WZI9HOCILTL2
8,5,True,A3JTI1UQ5ELQWJ
6,4,True,A16R0TZXN94V6Z
8,5,True,AA53PK560WIO8
3,3,True,A33CTXG6M0L4ON
10,5,True,A2Y825K73HHC2F
1,3,True,A1PAY41TADGRX2
9,5,True,A3NW35V6ZH93WP
0,1,False,A2WB6PTJR698VP
10,4,True,A1LZX3XQGA1LUL
7,4,True,ARQA90W3DRJCB
9,3,True,A1DIGFLSW59QS8
4,5,True,A2WZI9HOCILTL2
9,5,True,A3JTI1UQ5ELQWJ
1,4,False,A16R0TZXN94V6Z
4,1,True,A2CJBFBNJP90FJ
2,2,True,A2Y825K73HHC2F
6,4,True,A2LVWKZEY0TOAV
4,4,False,A5DTMMW81L4N5
7,4,True,A1RJMGLULYIJCV
9,4,True,A1LZX3XQGA1LUL
1,3,True,A1DIGFLSW59QS8
7,5,True,A2WZI9HOCILTL2
6,5,True,A2WZI9HOCILTL2
10,3,True,AF7OAXG68V0GI
6,3,True,AF7OAXG68V0GI
4,4,True,A33CTXG6M0L4ON
7,4,True,A2LVWKZEY0TOAV
6,4,True,A2LVWKZEY0TOAV
9,5,True,A5DTMMW81L4N5
8,3,True,AGN9KSJLLFK1U
3,1,False,A1RJMGLULYIJCV
2,2,False,A16R0TZXN94V6Z
5,4,True,AA53PK560WIO8
7,5,True,A2Y825K73HHC2F
4,4,True,A1PAY41TADGRX2
6,4,True,A2WB6PTJR698VP
9,3,True,AGN9KSJLLFK1U
7,4,True,ARQA90W3DRJCB
1,3,True,A1DIGFLSW59QS8
2,2,True,A3JTI1UQ5ELQWJ
1,2,False,AA53PK560WIO8
8,4,True,A33CTXG6M0L4ON
1,2,True,A2Y825K73HHC2F
9,5,True,A5DTMMW81L4N5
6,4,True,A5DTMMW81L4N5
5,2,False,A1RJMGLULYIJCV
9,4,True,A1RJMGLULYIJCV
7,4,True,A1LZX3XQGA1LUL
9,5,True,ARQA90W3DRJCB
5,4,True,A16R0TZXN94V6Z
10,4,True,A33CTXG6M0L4ON
7,4,True,A2LVWKZEY0TOAV
6,4,True,A2WB6PTJR698VP
6,4,True,A2WB6PTJR698VP
3,2,True,A2WB6PTJR698VP
3,4,True,AGN9KSJLLFK1U
6,4,True,ARQA90W3DRJCB
0,1,False,A1DIGFLSW59QS8
2,5,True,A2WZI9HOCILTL2
6,3,False,A1B2THSL4Q8RBQ
10,4,True,AF7OAXG68V0GI
9,4,False,A16R0TZXN94V6Z
10,5,True,AA53PK560WIO8
2,2,False,AA53PK560WIO8
10,5,True,A33CTXG6M0L4ON
5,2,False,A2CJBFBNJP90FJ
5,5,True,A2Y825K73HHC2F
5,3,True,A2LVWKZEY0TOAV
7,4,True,A1PAY41TADGRX2
3,3,True,A1PAY41TADGRX2
5,5,True,A3NW35V6ZH93WP
4,2,True,A1B2THSL4Q8RBQ
5,4,True,A1B2THSL4Q8RBQ
9,4,True,A1B2THSL4Q8RBQ
10,4,True,A1B2THSL4Q8RBQ
3,4,False,A2CJBFBNJP90FJ
